;filename;fullfilename;sample_id;channel2;richness;abundance;erirub;fricoe;perate;phycol;regreg;sylatr;turmer;turphi;nROI;aROI;ACI;H;NDSI;ADI;BI
3398;evascape_aircraft_pw02_rich7_ab1_n9;Database_20240315_Desync/evascape_aircraft_pw02_rich7_ab1_n9.wav;9;aircraft_pw02;7;1;1;1;1;0;1;1;1;1;240.09146341463415;2.698155608788231;357.1225;0.7525316472627464;0.4540732;1.7692677870476228;66.16425736961452
3399;evascape_aircraft_pw02_rich7_ab1_n10;Database_20240315_Desync/evascape_aircraft_pw02_rich7_ab1_n10.wav;10;aircraft_pw02;7;1;1;1;1;1;0;1;1;1;285.108612804878;3.565417211091754;341.81195;0.786187893730385;0.3133369;1.7108869281855656;64.7067006802721
3400;evascape_tettigonia_veridissima_rich7_ab1_n1;Database_20240315_Desync/evascape_tettigonia_veridissima_rich7_ab1_n1.wav;1;tettigonia_veridissima;7;1;1;1;1;1;1;0;1;1;239.09108231707316;2.3276440911730543;332.91565;0.8401109222517045;0.70626307;1.453001192948967;68.53275510204081
3401;evascape_tettigonia_veridissima_rich7_ab1_n2;Database_20240315_Desync/evascape_tettigonia_veridissima_rich7_ab1_n2.wav;2;tettigonia_veridissima;7;1;1;1;0;1;1;1;1;1;232.08841463414635;2.1538061362756484;323.91663;0.7247896806879844;0.7833181;1.113528735255988;84.10096371882086
3402;evascape_tettigonia_veridissima_rich7_ab1_n3;Database_20240315_Desync/evascape_tettigonia_veridissima_rich7_ab1_n3.wav;3;tettigonia_veridissima;7;1;1;1;1;1;0;1;1;1;220.08384146341464;2.347606344367015;346.9239;0.7995860919157409;0.80385065;2.0389638886696675;89.4383276643991
3403;evascape_tettigonia_veridissima_rich7_ab1_n4;Database_20240315_Desync/evascape_tettigonia_veridissima_rich7_ab1_n4.wav;4;tettigonia_veridissima;7;1;1;1;1;1;1;1;1;0;185.0705030487805;0.9305510186798297;317.04828;0.8922555907630848;0.4094438;1.6792428131164634;48.40891723356009
3404;evascape_tettigonia_veridissima_rich7_ab1_n5;Database_20240315_Desync/evascape_tettigonia_veridissima_rich7_ab1_n5.wav;5;tettigonia_veridissima;7;1;1;1;1;1;1;1;0;1;187.07126524390245;2.445149172473868;336.1413;0.8307415664965002;0.676398;1.6803360252626738;67.16959750566893
3405;evascape_tettigonia_veridissima_rich7_ab1_n6;Database_20240315_Desync/evascape_tettigonia_veridissima_rich7_ab1_n6.wav;6;tettigonia_veridissima;7;1;1;0;1;1;1;1;1;1;354.1349085365854;2.9470410496515678;337.707;0.8489884495922693;0.6023419;1.8001727976646391;61.55737528344671
3406;evascape_tettigonia_veridissima_rich7_ab1_n7;Database_20240315_Desync/evascape_tettigonia_veridissima_rich7_ab1_n7.wav;7;tettigonia_veridissima;7;1;1;1;1;0;1;1;1;1;241.0918445121951;3.014980763646922;334.81046;0.8865213619688388;0.7792112;1.997602791341152;84.96353174603175
3407;evascape_tettigonia_veridissima_rich7_ab1_n8;Database_20240315_Desync/evascape_tettigonia_veridissima_rich7_ab1_n8.wav;8;tettigonia_veridissima;7;1;0;1;1;1;1;1;1;1;231.08803353658536;1.3458263767905536;327.21356;0.8083072859415911;0.254836;1.4308835950795344;46.547052154195015
3408;evascape_tettigonia_veridissima_rich7_ab1_n9;Database_20240315_Desync/evascape_tettigonia_veridissima_rich7_ab1_n9.wav;9;tettigonia_veridissima;7;1;1;0;1;1;1;1;1;1;195.07431402439025;0.9958442218350756;313.46844;0.8548734109015993;0.42711526;1.3318172190819728;42.64859693877551
3409;evascape_tettigonia_veridissima_rich7_ab1_n10;Database_20240315_Desync/evascape_tettigonia_veridissima_rich7_ab1_n10.wav;10;tettigonia_veridissima;7;1;1;1;1;0;1;1;1;1;218.0830792682927;1.3924427748741772;321.23328;0.868983689113745;0.8005749;1.7809743469478163;80.36645691609978
3850;evascape_quiet_rich8_ab1_n1;Database_20240315_Desync/evascape_quiet_rich8_ab1_n1.wav;1;quiet;8;1;1;1;1;1;1;1;1;1;284.1082317073171;6.886561471641501;392.61737;0.651831299921762;0.96505797;1.5612028721717934;146.19650793650794
3851;evascape_quiet_rich8_ab1_n2;Database_20240315_Desync/evascape_quiet_rich8_ab1_n2.wav;2;quiet;8;1;1;1;1;1;1;1;1;1;252.09603658536585;8.352123560298102;404.9967;0.6648677762879515;0.9359675;1.687385627791009;195.60476190476192
3852;evascape_quiet_rich8_ab1_n3;Database_20240315_Desync/evascape_quiet_rich8_ab1_n3.wav;3;quiet;8;1;1;1;1;1;1;1;1;1;289.1101371951219;7.959721617305458;374.3341;0.723256182157333;0.94335234;1.7132208726347675;161.14684807256236
3853;evascape_quiet_rich8_ab1_n4;Database_20240315_Desync/evascape_quiet_rich8_ab1_n4.wav;4;quiet;8;1;1;1;1;1;1;1;1;1;221.0842225609756;8.226414295392955;396.24924;0.6885484399553387;0.9298566;1.8322852451747145;143.66897959183675
3854;evascape_quiet_rich8_ab1_n5;Database_20240315_Desync/evascape_quiet_rich8_ab1_n5.wav;5;quiet;8;1;1;1;1;1;1;1;1;1;203.07736280487805;5.683344221835076;354.32016;0.5629659703152021;0.9001278;1.2440084477625883;117.546462585034
