filename;fullfilename;sample_id;channel2;richness;abundance;erirub;fricoe;perate;phycol;regreg;sylatr;turmer;turphi;nROI;aROI;ACI;H;NDSI;ADI;BI
Evascape_tettigonia_veridissima_rich5_ab1_n26;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_tettigonia_veridissima_rich5_ab1_n26.wav;26;tettigonia_veridissima;5;1;0;0;1;1;1;1;1;0;214.0815548780488;1.470439230061943;329.84363;0.8964996646049409;0.73051345;2.013057626298766;76.10771541950113
Evascape_tettigonia_veridissima_rich5_ab1_n27;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_tettigonia_veridissima_rich5_ab1_n27.wav;27;tettigonia_veridissima;5;1;1;0;0;1;1;1;0;1;157.05983231707316;5.99170054200542;360.6169;0.7270372792891615;0.8326296;1.732437791262772;116.13984126984128
Evascape_tettigonia_veridissima_rich5_ab1_n28;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_tettigonia_veridissima_rich5_ab1_n28.wav;28;tettigonia_veridissima;5;1;1;0;1;1;1;0;1;0;163.062118902439;1.092063794521874;322.27737;0.8920184943787163;0.51509136;1.795266401611715;53.30048185941043
Evascape_no_background_rich6_ab1_n1;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n1.wav;1;no_background;6;1;1;1;0;1;0;1;1;1;195.07431402439025;5.443116652148664;376.0996;0.6573268641704203;0.89230824;1.470782764906024;86.96098072562359
Evascape_no_background_rich6_ab1_n2;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n2.wav;2;no_background;6;1;0;1;1;1;1;1;0;1;186.07088414634143;6.351852860046457;406.34326;0.7084892710345799;0.95501184;1.7436992933971611;112.71884353741495
Evascape_no_background_rich6_ab1_n3;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n3.wav;3;no_background;6;1;1;1;0;0;1;1;1;1;189.0720274390244;8.53303147986837;400.48682;0.6755104917431122;0.9409209;1.663668936578544;149.57814058956916
Evascape_no_background_rich6_ab1_n4;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n4.wav;4;no_background;6;1;1;1;1;0;1;1;1;0;190.07240853658536;6.245122858594657;355.3474;0.6419680114656031;0.8993048;1.4494363177063303;104.98902494331064
Evascape_no_background_rich6_ab1_n5;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n5.wav;5;no_background;6;1;1;1;1;1;1;0;0;1;178.06783536585365;8.35151864353465;409.31738;0.6536220898104423;0.9657174;1.855950502573456;162.45843537414967
Evascape_no_background_rich6_ab1_n6;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n6.wav;6;no_background;6;1;1;1;0;1;1;1;0;1;237.0903201219512;7.477489534939992;395.66223;0.6862495135445094;0.9580227;1.509222101841443;130.1009977324263
Evascape_no_background_rich6_ab1_n7;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n7.wav;7;no_background;6;1;1;1;0;1;1;0;1;1;108.04115853658536;6.50104045683314;377.0315;0.6999438950025654;0.90938777;1.795776780730205;106.49939909297052
Evascape_no_background_rich6_ab1_n8;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n8.wav;8;no_background;6;1;1;1;0;1;1;1;1;0;165.06288109756096;4.764589080042586;368.96863;0.7011745148772235;0.8399937;1.375071583154078;69.73721088435374
Evascape_no_background_rich6_ab1_n9;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n9.wav;9;no_background;6;1;1;1;1;1;0;0;1;1;138.05259146341464;7.278245075977545;381.52332;0.6446328718508605;0.9673466;1.2572112907557091;131.02870748299318
Evascape_no_background_rich6_ab1_n10;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n10.wav;10;no_background;6;1;0;0;1;1;1;1;1;1;248.09451219512195;7.624333079268293;380.13184;0.713319233985588;0.9196748;1.759308041228734;134.19403628117914
Evascape_no_background_rich6_ab1_n11;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n11.wav;11;no_background;6;1;1;0;1;1;1;1;0;1;222.0846036585366;5.420545695412312;367.7756;0.6571287360848472;0.9468636;1.6295772915111366;100.17307256235829
Evascape_no_background_rich6_ab1_n12;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n12.wav;12;no_background;6;1;0;1;0;1;1;1;1;1;307.1169969512195;7.510759956929926;382.25845;0.6974530864033422;0.9406555;1.7064108041792476;152.47071428571428
Evascape_no_background_rich6_ab1_n13;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n13.wav;13;no_background;6;1;1;1;1;1;0;1;0;1;191.07278963414635;6.995975791231127;408.14343;0.6888594510313152;0.9627952;1.7605902152281625;116.50815192743764
Evascape_no_background_rich6_ab1_n14;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n14.wav;14;no_background;6;1;1;0;1;1;1;0;1;1;213.0811737804878;6.976694069396052;417.99518;0.6627343312727756;0.94237685;1.9087942544699843;141.12399092970523
Evascape_no_background_rich6_ab1_n15;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n15.wav;15;no_background;6;1;1;1;1;0;1;1;0;1;182.06935975609755;8.203238421893147;394.75385;0.6860627010577095;0.95241934;1.585287554544888;133.30672335600906
Evascape_no_background_rich6_ab1_n16;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n16.wav;16;no_background;6;1;1;1;1;0;1;0;1;1;304.1158536585366;7.406714273615951;371.0673;0.7302362517662133;0.91177183;1.7356031348795726;116.47208616780046
Evascape_no_background_rich6_ab1_n17;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n17.wav;17;no_background;6;1;1;0;1;0;1;1;1;1;224.08536585365852;8.287057200929151;393.10986;0.6867434130265567;0.92519665;1.732171014597828;140.0311904761905
Evascape_no_background_rich6_ab1_n18;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n18.wav;18;no_background;6;1;1;1;1;1;0;1;1;0;148.0564024390244;5.2229269502516456;367.579;0.6308208864836227;0.9391779;1.289350998254273;89.17684240362811
Evascape_no_background_rich6_ab1_n19;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n19.wav;19;no_background;6;1;0;1;1;1;0;1;1;1;155.0590701219512;6.917374419279907;388.93594;0.6786683563448318;0.8458607;1.7968904170666222;118.16273242630386
Evascape_no_background_rich6_ab1_n20;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n20.wav;20;no_background;6;1;1;0;1;1;1;1;1;0;174.06631097560975;5.368258202671313;358.16367;0.6731918032447233;0.7464239;1.4502773753080405;91.4310260770975
Evascape_no_background_rich6_ab1_n21;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n21.wav;21;no_background;6;1;0;1;1;1;1;1;1;0;149.05678353658536;7.360967443379791;376.31628;0.6134093114617104;0.94510794;1.343462501723145;105.46706349206347
Evascape_no_background_rich6_ab1_n22;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n22.wav;22;no_background;6;1;1;1;1;0;0;1;1;1;173.0659298780488;4.17135477158343;357.96057;0.511713443887041;0.89600897;1.0560593957296331;102.37783446712018
Evascape_no_background_rich6_ab1_n23;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n23.wav;23;no_background;6;1;0;1;1;0;1;1;1;1;181.0689786585366;7.573255420054201;418.9344;0.6557360243534642;0.9436986;1.919087092851005;163.01351473922904
Evascape_no_background_rich6_ab1_n24;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n24.wav;24;no_background;6;1;1;1;1;1;1;1;0;0;139.0529725609756;5.814497737611305;375.1795;0.6180212827024709;0.97731274;1.2489455779868963;105.535
Evascape_no_background_rich6_ab1_n25;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n25.wav;25;no_background;6;1;0;1;1;1;1;0;1;1;180.0685975609756;6.226899741095625;421.94757;0.6671601401987216;0.93212575;1.747123303763467;125.06638321995464
Evascape_no_background_rich6_ab1_n26;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n26.wav;26;no_background;6;1;1;0;0;1;1;1;1;1;214.0815548780488;6.661078748064267;390.1086;0.6877414573733882;0.91065425;1.6429684739186186;106.2465306122449
Evascape_no_background_rich6_ab1_n27;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n27.wav;27;no_background;6;1;1;1;1;1;1;0;1;0;214.0815548780488;6.761041243224933;388.38586;0.6879659657319946;0.88896996;1.673851326775086;97.92280045351474
Evascape_no_background_rich6_ab1_n28;../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich6_ab1_n28.wav;28;no_background;6;1;1;0;1;1;0;1;1;1;232.08841463414635;4.446327247870693;355.03912;0.5483625364105927;0.90726984;1.1010118852728654;95.15913832199548
